"","ColonyID","Species","Phenotype","Timepoint","Without_wax_weight_g","With_wax_weight_g","delta.mass.g","surface.area.cm2","Notes"
"263","225","Porites compressa","Susceptible","January_2025",2.9452,3.2948,0.3496,7.96554441027508,""
"264","226","Porites compressa","Resistant","January_2025",3.5412,3.9831,0.4419,10.0685757291206,""
"265","233","Porites compressa","Susceptible","January_2025",2.3022,2.5779,0.2757,6.28175227091773,""
"266","234","Porites compressa","Resistant","January_2025",6.1887,6.9101,0.7214,16.4369100044978,""
"267","235","Porites compressa","Susceptible","January_2025",4.9442,5.3785,0.434299999999999,9.89541172020155,""
"268","236","Porites compressa","Resistant","January_2025",4.2432,4.7537,0.5105,11.6316087569949,""
"269","237","Porites compressa","Susceptible","January_2025",3.0731,3.4325,0.3594,8.18883484282856,""
"270","238","Porites compressa","Resistant","January_2025",3.6948,4.1993,0.5045,11.494900328901,""
"271","239","Porites compressa","Susceptible","January_2025",2.9791,3.3535,0.3744,8.53060591306347,""
"272","240","Porites compressa","Resistant","January_2025",2.6952,3.0507,0.3555,8.09997436456748,""
"273","241","Porites compressa","Susceptible","January_2025",3.6646,4.0832,0.4186,9.53769133335568,""
"274","242","Porites compressa","Resistant","January_2025",3.7539,4.1922,0.4383,9.98655067226421,""
"275","243","Porites compressa","Susceptible","January_2025",4.3756,4.8705,0.494899999999999,11.2761668439506,""
"276","244","Porites compressa","Resistant","January_2025",4.9061,5.3914,0.4853,11.0574333590003,""
"277","247","Porites compressa","Susceptible","January_2025",4.1734,4.6302,0.4568,10.4080683255539,""
"278","248","Porites compressa","Resistant","January_2025",7.0531,7.7461,0.693000000000001,15.7898234448531,""
"279","1","Montipora capitata","Susceptible","October_2025",6.7896,7.2,0.4104,9.35085648162727,"Modified wax weight, previous weight was overestimation"
"280","2","Montipora capitata","Resistant","October_2025",3.3506,4,0.6494,14.7964088673702,"Modified wax weight, previous weight was overestimation"
"281","3","Montipora capitata","Susceptible","October_2025",1.4843,2.1265,0.6422,14.6323587536575,""
"282","4","Montipora capitata","Resistant","October_2025",7.1726,8.3196,1.147,26.1340945039631,"May be an overestimation"
"283","12","Montipora capitata","Resistant","October_2025",2.7166,3.1647,0.4481,10.2098411048177,""
"284","19","Montipora capitata","Susceptible","October_2025",4.4934,5.1,0.606599999999999,13.8212220802999,"Modified wax weight, previous weight was overestimation"
"285","20","Montipora capitata","Resistant","October_2025",5.6296,6.7423,1.1127,25.352577990026,"May be an overestimation"
"286","26","Porites compressa","Resistant","October_2025",5.3606,5.8716,0.511,11.6430011260028,""
"287","27","Porites compressa","Susceptible","October_2025",8.6021,9.3335,0.731400000000001,16.6647573846545,""
"288","28","Porites compressa","Resistant","October_2025",2.6409,2.9285,0.2876,6.55289065330411,""
